‘ Well, it's a recognised symptom of the condition that an attack can come out of the blue.	‘ Well, it's a recognised symptom of the condition that an attack can come without warning.	1.0
He wasn't sure whether to speak in the accent he'd used in Look Back in Anger (‘ a splendid Blimp' — Worcester Gazette) or the one for When We are Married (‘ made a meal of the part' — Croydon Advertiser).	He wasn't sure whether to speak in the accent he'd used in Look Back in Anger (‘ a splendid Blimp' — Worcester Gazette) or the one for When We are Married (‘ overly complicate the part' — Croydon Advertiser).	1.0
He wasn't sure whether to speak in the accent he'd used in Look Back in Anger (‘ a splendid Blimp' — Worcester Gazette) or the one for When We are Married (‘ made a meal of the part' — Croydon Advertiser).	He wasn't sure whether to speak in the accent he'd used in Look Back in Anger (‘ a splendid Blimp' — Worcester Gazette) or the one for When We are Married (‘ overly complicate the part' — Croydon Advertiser).	1.0
Such a statement flies in the face of the types of acrylic primers offered to artists who wish to over paint in oils.	Such a statement act in a manner highly contrary to the types of acrylic primers offered to artists who wish to over paint in oils.	1.0
Such a statement flies in the face of the types of acrylic primers offered to artists who wish to over paint in oils.	Such a statement contradict the types of acrylic primers offered to artists who wish to over paint in oils.	1.0
However unorthodox our dual role on the cutters might seem to professionals it works out in practice and has stood the test of time.	However unorthodox our dual role on the cutters might seem to professionals it works out in practice and has last a long time.	1.0
LOVEBIRDS Alan and Jennifer Tyler tied the knot again — a year to the day after they separated.	LOVEBIRDS Alan and Jennifer Tyler marryed again — a year to the day after they separated.	1.0
His proposal that a new socialist party should rise from the ashes of the present one was hardly disputed.	His proposal that a new socialist party should make a comeback after a disaster that almost led to a tragic end of the present one was hardly disputed.	1.0
DESPERADO: when a piece is trapped or doomed to capture or is blocking its own pieces it is deemed ‘ desperado’ and runs amok, kamikaze style.	DESPERADO: when a piece is trapped or doomed to capture or is blocking its own pieces it is deemed ‘ desperado’ and goes on a rampage, kamikaze style.	1.0
Every once in a while, a profession (most frequently, economics) determines that it has reached a consensus on how to solve a problem.	Every sometimes, a profession (most frequently, economics) determines that it has reached a consensus on how to solve a problem.	1.0
Every once in a while, a profession (most frequently, economics) determines that it has reached a consensus on how to solve a problem.	Every occasionally, a profession (most frequently, economics) determines that it has reached a consensus on how to solve a problem.	1.0
Most had by then gone public, but still controlled their firms.	Most had by then was announced publicly, but still controlled their firms.	1.0
Was it actually started from scratch with this one did you?	Was it actually started from the beginning with this one did you?	1.0
( To clear up a myth once and for all, rhino horn is in demand not as an aphrodisiac but for its supposed fever - reducing qualities.	( To clear up a myth conclusively, rhino horn is in demand not as an aphrodisiac but for its supposed fever - reducing qualities.	1.0
‘ He was in residence at the local hall,’ confirms Mitchell, ‘ because he was in bed with the cook.’	‘ He was in residence at the local hall,’ confirms Mitchell, ‘ because he was having sex with the cook.’	0.7506960967954236
